input_angle_field,input_angle_cornea,input_angle_pupil,output_angle_pupil,output_angle_np2,output_angle_retina_center,output_angle_navarro_np2,location_np2,location_retina_center,patient,retina_location
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.891850999999999,8.3703,Navarro,"(20.3703, 0.0)"
40.0,39.999999998950486,33.844711450197984,32.04013955178865,39.90615758903902,53.75860946451357,39.90615758903902,3.891850999999999,8.3703,Navarro,"(15.46456155, 9.6784013691)"
80.0,79.99999999985356,68.80691446138891,61.67211866174699,78.12964860704946,99.55097557998482,78.12964860704946,3.891850999999999,8.3703,Navarro,"(6.3791996334, 11.833660437)"
15.0,15.00000000021288,12.671538695338407,12.11630193187018,14.994246415730107,20.53513737066257,14.994246415730107,3.891850999999999,8.3703,Navarro,"(19.607786928, 4.2093808992)"
35.0,35.00000000207051,29.596743777283674,28.102632096399272,34.94230106504554,47.284685634926284,34.94230106504554,3.891850999999999,8.3703,Navarro,"(16.510572937, 8.8167996749)"
55.0,55.00000000043357,46.688026158206206,43.61737302350402,54.65647948739007,72.3798719557995,54.65647948739007,3.891850999999999,8.3703,Navarro,"(12.002756743, 11.437012635)"
75.0,74.9999999995555,64.27804992012773,58.213694887146936,73.59890726430426,94.57742448362964,73.59890726430426,3.891850999999999,8.3703,Navarro,"(7.4126259576, 11.96172481)"
10.0,9.999999999989848,8.447105272278819,8.083235041241128,9.997172834010538,13.71185783484736,9.997172834010538,3.891850999999999,8.3703,Navarro,"(20.028301003, 2.8444705333)"
50.0,49.99999999993806,42.38504945691947,39.80471337798761,49.771599985749056,66.32640545574357,49.771599985749056,3.891850999999999,8.3703,Navarro,"(13.188608877, 10.990172863)"
20.0,20.000000002088434,16.89738239562171,16.138864499922803,19.989089640898243,27.318661323666745,19.989089640898243,3.891850999999999,8.3703,Navarro,"(19.031913632, 5.5072674499)"
60.0,60.00000000073422,51.021423801338955,47.37262578923452,59.49475306119391,78.2512097742041,59.49475306119391,3.891850999999999,8.3703,Navarro,"(10.813752948, 11.748597265)"
5.0,5.000000000153553,4.223401562768803,4.043310169316006,4.998859662832639,6.862417151079958,4.998859662832639,3.891850999999999,8.3703,Navarro,"(20.284331177, 1.4338274323)"
25.0,24.9999999986498,21.125700953930448,20.14701701063084,24.980251993305565,34.048234891528566,24.980251993305565,3.891850999999999,8.3703,Navarro,"(18.313098216, 6.7186876425)"
45.0,45.0,38.105869254447256,35.94308584031453,44.851692544775275,60.11238009669988,44.851692544775275,3.891850999999999,8.3703,Navarro,"(14.349904977, 10.404053264)"
65.0,64.9999999993386,55.39251362675222,51.06175528575481,64.27314179611737,83.91925901191456,64.27314179611737,3.891850999999999,8.3703,Navarro,"(9.6414580245, 11.932483282)"
85.0,84.99999999994041,73.4014037252999,65.05547179468584,82.56730787972324,104.28713379420617,82.56730787972324,3.891850999999999,8.3703,Navarro,"(5.4089231208, 11.62885407)"
30.0,29.99999999766426,25.358076860177583,24.136505814417056,29.96564017665207,40.70888391443859,29.96564017665207,3.891850999999999,8.3703,Navarro,"(17.466698603, 7.8265913691)"
70.0,70.00000000042292,59.80889068765484,54.67700909517514,68.97816905574854,89.36551542826523,68.97816905574854,3.891850999999999,8.3703,Navarro,"(8.503183422, 11.999264227)"
