Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Anglein,Pathlength,Comment,Unnamed: 13,InputAngle
OBJ,inf,inf,inf,0.0,0.0,1.0,-----,,,,,,,0.0
1,0.0,0.0,-4.55,0.0,0.0,1.0,"0,0000000000",0.0,-1.0,0.0,-0.0,Inputbeam,,0.0
2,0.0,0.0,-3.55,0.0,0.0,1.0,"0,0000000000",0.0,-1.0,0.0,1.0,CorneaFront,,0.0
3,0.0,0.0,-3.05,0.0,0.0,1.0,"0,0000000000",0.0,-1.0,0.0,0.5,CorneaBack/Aqueous,,0.0
4,0.0,0.0,0.0,0.0,0.0,1.0,"0,0000000000",0.0,-1.0,0.0,3.05,Pupil,,0.0
5,0.0,0.0,0.0,0.0,0.0,1.0,"0,0000000000",0.0,-1.0,0.0,0.0,LensFront,,0.0
6,0.0,0.0,4.0,0.0,0.0,1.0,"-0,0000000000",-0.0,-1.0,0.0,4.0,LensBack/Vitreous,,0.0
7,0.0,0.0,20.3703,0.0,0.0,1.0,"-0,0000000000",-0.0,-1.0,0.0,16.3703,Retina,,0.0
OBJ,inf,inf,inf,0.0,0.6427876097,0.7660444431,-----,,,,,,,40.0
1,0.0,-3.3499389562,-4.55,0.0,0.6427876097,0.7660444431,"0,0000000000",0.0,-1.0,40.0,-0.0,Inputbeam,,40.0
2,0.0,-2.2350195935,-3.221290844,0.0,0.5500056684,0.8351609215,"0,0000000000",-0.2864064137,-0.9581082226,23.357064955,1.7345066176,CorneaFront,,40.0
3,0.0,-1.929304634,-2.7570752879,0.0,0.5569439148,0.8305501043,"0,0000000000",-0.2968160975,-0.9549346597,16.100931314,0.55583965227,CorneaBack/Aqueous,,40.0
4,0.0,-0.080486247056,0.0,0.0,0.5569439148,0.8305501043,"0,0000000000",0.0,-1.0,33.84471145,3.3195773181,Pupil,,40.0
5,0.0,-0.080274432591,0.00031587116904,0.0,0.5249452529,0.8511359947,"0,0000000000",-0.0078692793,-0.9999690367,33.393830307,0.00038031560937,LensFront,,40.0
6,0.0,2.1491676934,3.6150898521,0.0,0.5363004876,0.8440271246,"-0,0000000000",-0.337214397,-0.9414278785,11.957307106,4.2469993085,LensBack/Vitreous,,40.0
7,0.0,9.6784013691,15.46456155,0.0,0.5363004876,0.8440271246,"-0,0000000000",-0.8065334474,-0.5911884625,21.326459133,14.039207216,Retina,,40.0
OBJ,inf,inf,inf,0.0,0.984807753,0.1736481777,-----,,,,,,,80.0
1,0.0,-22.641468537,-4.55,0.0,0.984807753,0.1736481777,"0,0000000000",0.0,-1.0,80.0,-0.0,Inputbeam,,80.0
2,0.0,-5.3427527829,-1.4997696809,0.0,0.9277370855,0.3732343769,"0,0000000000",-0.6526232434,-0.7576825867,39.260323582,17.565576328,CorneaFront,,80.0
3,0.0,-4.5580105315,-1.1840630116,0.0,0.9323674353,0.3615120545,"0,0000000000",-0.7012323895,-0.712932771,23.558808889,0.84586707131,CorneaBack/Aqueous,,80.0
4,0.0,-1.5042208179,0.0,0.0,0.9323674353,0.3615120545,"0,0000000000",0.0,-1.0,68.806914462,3.2753071352,PupilVignetted,,80.0
5,0.0,-1.2942381427,0.081417760279,0.0,0.8918539887,0.4523234051,"0,0000000000",-0.1238034469,-0.9923067603,61.695252857,0.22521451018,LensFront,,80.0
6,0.0,3.9144253003,2.723106214,0.0,0.9079130607,0.419158531,"-0,0000000000",-0.5464030995,-0.8375223298,29.986552009,5.8402647841,LensBack/Vitreous,,80.0
7,0.0,11.833660437,6.3791996334,0.0,0.9079130607,0.419158531,"0,0000000000",-0.9861383697,0.1659250305,34.332449013,8.7224597584,Retina,,80.0
OBJ,inf,inf,inf,0.0,0.2588190451,0.9659258263,-----,,,,,,,15.0
1,0.0,-1.0697340395,-4.55,0.0,0.2588190451,0.9659258263,"0,0000000000",0.0,-1.0,15.0,-0.0,Inputbeam,,15.0
2,0.0,-0.79090800436,-3.5094070704,0.0,0.2161714761,0.9763554132,"0,0000000000",-0.102309721,-0.9947525929,9.127809929,1.0773010735,CorneaFront,,15.0
