Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Anglein,Pathlength,Comment,Unnamed: 13,InputAngle
OBJ,inf,inf,inf,0.0,0.0,1.0,-----,,,,,,,0.0
1,0.0,0.0,-4.9065,0.0,0.0,1.0,"0,0000000000",0.0,-1.0,0.0,-0.0,Inputbeam,,0.0
2,0.0,0.0,-3.9065,0.0,0.0,1.0,"0,0000000000",0.0,-1.0,0.0,1.0,CorneaFront,,0.0
3,0.0,0.0,-3.345,0.0,0.0,1.0,"0,0000000000",0.0,-1.0,0.0,0.5615,CorneaBack/Aqueous,,0.0
4,0.0,0.0,0.0,0.0,0.0,1.0,"0,0000000000",0.0,-1.0,0.0,3.345,Pupil,,0.0
5,0.0,0.0,0.0,0.0,0.0,1.0,"0,0000000000",0.0,-1.0,0.0,0.0,LensFront,,0.0
6,0.0,0.0,3.17,0.0,0.0,1.0,"-0,0000000000",-0.0,-1.0,0.0,3.17,LensBack/Vitreous,,0.0
7,0.0,0.0,20.3985,0.0,0.0,1.0,"-0,0000000000",-0.0,-1.0,0.0,17.2285,Retina,,0.0
OBJ,inf,inf,inf,0.0,0.1736481777,0.984807753,-----,,,,,,,10.0
1,0.0,-0.76473637505,-4.9065,0.0,0.1736481777,0.984807753,"0,0000000000",0.0,-1.0,10.0,-0.0,Inputbeam,,10.0
2,0.0,-0.5844917619,-3.8842820024,0.0,0.1469210947,0.9891482153,"0,0000000000",-0.0758901657,-0.9971161832,5.64762918,1.0379873579,CorneaFront,,10.0
3,0.0,-0.50139172257,-3.3248098875,0.0,0.1488335988,0.9888622553,"0,0000000000",-0.0803871705,-0.9967637146,3.837720754,0.56560999272,CorneaBack/Aqueous,,10.0
4,0.0,-0.00097478569617,0.0,0.0,0.1488335988,0.9888622553,"0,0000000000",0.0,-1.0,8.559337957,3.3622578573,Pupil,,10.0
5,0.0,-0.0009747786857,4.6578111837e-08,0.0,0.1401428053,0.9901313015,"0,0000000000",-9.55665e-05,-0.9999999954,8.553862398,4.710273002e-08,LensFront,,10.0
6,0.0,0.44514784279,3.1519276166,0.0,0.1438997239,0.9895922744,"-0,0000000000",-0.0805135319,-0.9967535158,3.438025692,3.1833430227,LensBack/Vitreous,,10.0
7,0.0,2.9008487604,20.03967827,0.0,0.1438997239,0.9895922744,"-0,0000000000",-0.2436626812,-0.9698600403,5.829246282,17.065362262,Retina,,10.0
OBJ,inf,inf,inf,0.0,0.3420201433,0.9396926208,-----,,,,,,,20.0
1,0.0,-1.5785518272,-4.9065,0.0,0.3420201433,0.9396926208,"0,0000000000",0.0,-1.0,20.0,-0.0,Inputbeam,,20.0
2,0.0,-1.1814281789,-3.8154117435,0.0,0.2908091041,0.9567810956,"0,0000000000",-0.1530830648,-0.9882133248,11.194362818,1.1611118704,CorneaFront,,20.0
3,0.0,-1.0132772314,-3.2621840573,0.0,0.2944733072,0.9556597048,"0,0000000000",-0.162223525,-0.9867540362,7.570420912,0.57821761818,CorneaBack/Aqueous,,20.0
4,0.0,-0.0080803780088,0.0,0.0,0.2944733072,0.9556597048,"0,0000000000",0.0,-1.0,17.125957263,3.4135414949,Pupil,,20.0
5,0.0,-0.0080793920252,3.1998310623e-06,0.0,0.2773153405,0.9607789558,"0,0000000000",-0.0007920965,-0.9999996863,17.080573473,3.348295472e-06,LensFront,,20.0
6,0.0,0.88651613758,3.0993937971,0.0,0.2850040139,0.9585263231,"-0,0000000000",-0.1542839556,-0.9880265488,7.224770584,3.2259143255,LensBack/Vitreous,,20.0
7,0.0,5.6121618057,18.992698961,0.0,0.2850040139,0.9585263231,"-0,0000000000",-0.4714049251,-0.8819168876,11.56644345,16.580979344,Retina,,20.0
OBJ,inf,inf,inf,0.0,0.5,0.8660254038,-----,,,,,,,30.0
1,0.0,-2.5039886138,-4.9065,0.0,0.5,0.8660254038,"0,0000000000",0.0,-1.0,30.0,-0.0,Inputbeam,,30.0
2,0.0,-1.8033489033,-3.6929564237,0.0,0.428722679,0.903436143,"0,0000000000",-0.2328337203,-0.9725165596,16.536037675,1.4012794209,CorneaFront,,30.0
3,0.0,-1.5460285068,-3.1507118494,0.0,0.433824443,0.900997421,"0,0000000000",-0.2468936858,-0.9690425728,11.092753084,0.60020243649,CorneaBack/Aqueous,,30.0
4,0.0,-0.028981086798,0.0,0.0,0.433824443,0.900997421,"0,0000000000",0.0,-1.0,25.710514923,3.4969155026,Pupil,,30.0
5,0.0,-0.028961290033,4.1115329262e-05,0.0,0.40865849,0.9126873718,"0,0000000000",-0.0028393063,-0.9999959692,25.547834435,4.5633126469e-05,LensFront,,30.0
6,0.0,1.3217380541,3.0166583269,0.0,0.4204470054,0.9073170976,"-0,0000000000",-0.2172338794,-0.9761195837,11.573973877,3.3052031888,LensBack/Vitreous,,30.0
7,0.0,7.9613712353,17.34486766,0.0,0.4204470054,0.9073170976,"-0,0000000000",-0.6687315407,-0.7435039519,17.106427814,15.791843195,Retina,,30.0
OBJ,inf,inf,inf,0.0,0.6427876097,0.7660444431,-----,,,,,,,40.0
1,0.0,-3.639204889,-4.9065,0.0,0.6427876097,0.7660444431,"0,0000000000",0.0,-1.0,40.0,-0.0,Inputbeam,,40.0
2,0.0,-2.4627186644,-3.5044183152,0.0,0.5578747532,0.8299251531,"0,0000000000",-0.3162623644,-0.9486717646,21.562961594,1.8302876516,CorneaFront,,40.0
3,0.0,-2.1094765115,-2.9789158684,0.0,0.5639631233,0.8257999731,"0,0000000000",-0.3356033916,-0.9420033777,14.299715768,0.63319257753,CorneaBack/Aqueous,,40.0
4,0.0,-0.07508712919,0.0,0.0,0.5639631233,0.8257999731,"0,0000000000",0.0,-1.0,34.330319682,3.607309234,Pupil,,40.0
5,0.0,-0.074899332002,0.00027498768365,0.0,0.5315207138,0.8470452944,"0,0000000000",-0.0073424519,-0.9999730438,33.909624398,0.00033299551055,LensFront,,40.0
6,0.0,1.7502751953,2.9089207937,0.0,0.547356147,0.8368997839,"-0,0000000000",-0.2684682734,-0.9632885269,16.535120512,3.4338728107,LensBack/Vitreous,,40.0
7,0.0,9.8121309656,15.235383901,0.0,0.547356147,0.8368997839,"-0,0000000000",-0.8241898618,-0.5663135808,22.320619499,14.728720624,Retina,,40.0
OBJ,inf,inf,inf,0.0,0.7660444431,0.6427876097,-----,,,,,,,50.0
1,0.0,-5.1686776391,-4.9065,0.0,0.7660444431,0.6427876097,"0,0000000000",0.0,-1.0,50.0,-0.0,Inputbeam,,50.0
2,0.0,-3.1711416901,-3.230368322,0.0,0.6756367276,0.7372347064,"0,0000000000",-0.4041848298,-0.9146773329,26.159945536,2.6075979885,CorneaFront,,50.0
3,0.0,-2.7118247602,-2.7291753463,0.0,0.682152363,0.7312100612,"0,0000000000",-0.4291613437,-0.9032278456,17.089266622,0.67982824377,CorneaBack/Aqueous,,50.0
4,0.0,-0.16575283031,0.0,0.0,0.682152363,0.7312100612,"0,0000000000",0.0,-1.0,43.012066101,3.7324094554,Pupil,,50.0
5,0.0,-0.16451528425,0.0013265454767,0.0,0.6435342837,0.7654172886,"0,0000000000",-0.0161223836,-0.9998700259,42.088281541,0.0018141783697,LensFront,,50.0
6,0.0,2.1726339588,2.7811231814,0.0,0.6630085491,0.7486118245,"-0,0000000000",-0.3091002074,-0.9510294747,22.050856656,3.631740068,LensBack/Vitreous,,50.0
7,0.0,11.08268726,12.841583589,0.0,0.6630085491,0.7486118245,"-0,0000000000",-0.9309128173,-0.3652414635,27.047828982,13.438821133,Retina,,50.0
OBJ,inf,inf,inf,0.0,0.8660254038,0.5,-----,,,,,,,60.0
1,0.0,-7.5119658413,-4.9065,0.0,0.8660254038,0.5,"0,0000000000",0.0,-1.0,60.0,-0.0,Inputbeam,,60.0
2,0.0,-3.9374710643,-2.8427644783,0.0,0.7794624118,0.6264489992,"0,0000000000",-0.496819573,-0.867853854,30.210193228,4.1274710434,CorneaFront,,60.0
3,0.0,-3.3574295372,-2.37658878,0.0,0.7857811668,0.6185046144,"0,0000000000",-0.5276067953,-0.8494887107,19.36748287,0.74415586738,CorneaBack/Aqueous,,60.0
4,0.0,-0.33808471575,0.0,0.0,0.7857811668,0.6185046144,"0,0000000000",0.0,-1.0,51.792984463,3.8424754234,Pupil,,60.0
